127.0.0.1 - - [03/May/2023:05:23:33 +0200] "GET / HTTP/1.1" 404 681
0:0:0:0:0:0:0:1 - - [03/May/2023:05:23:34 +0200] "GET /test/addQuote HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [03/May/2023:05:23:34 +0200] "GET /test/registration HTTP/1.1" 200 8356
0:0:0:0:0:0:0:1 - - [03/May/2023:05:23:35 +0200] "GET /favicon.ico HTTP/1.1" 404 692
0:0:0:0:0:0:0:1 - - [03/May/2023:05:24:05 +0200] "POST /test/auth HTTP/1.1" 200 8409
0:0:0:0:0:0:0:1 - - [03/May/2023:05:24:11 +0200] "POST /test/auth HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [03/May/2023:05:24:12 +0200] "GET /test/sharedQuotes HTTP/1.1" 200 16527
0:0:0:0:0:0:0:1 - - [03/May/2023:05:24:19 +0200] "GET /test/addQuote HTTP/1.1" 200 9528
0:0:0:0:0:0:0:1 - - [03/May/2023:05:24:38 +0200] "POST /test/addQuote HTTP/1.1" 200 9567
0:0:0:0:0:0:0:1 - - [03/May/2023:05:25:49 +0200] "POST /test/addQuote HTTP/1.1" 200 9567
0:0:0:0:0:0:0:1 - - [03/May/2023:05:26:33 +0200] "POST /test/addQuote HTTP/1.1" 200 9567
0:0:0:0:0:0:0:1 - - [03/May/2023:05:26:41 +0200] "POST /test/addQuote HTTP/1.1" 200 9567
0:0:0:0:0:0:0:1 - - [03/May/2023:05:28:15 +0200] "POST /test/addQuote HTTP/1.1" 200 9567
0:0:0:0:0:0:0:1 - - [03/May/2023:05:28:22 +0200] "POST /test/addQuote HTTP/1.1" 200 9567
0:0:0:0:0:0:0:1 - - [03/May/2023:05:29:21 +0200] "POST /test/addQuote HTTP/1.1" 200 9567
0:0:0:0:0:0:0:1 - - [03/May/2023:05:29:34 +0200] "POST /test/addQuote HTTP/1.1" 200 9567
0:0:0:0:0:0:0:1 - - [03/May/2023:05:30:14 +0200] "POST /test/addQuote HTTP/1.1" 200 9567
0:0:0:0:0:0:0:1 - - [03/May/2023:05:30:14 +0200] "POST /test/addQuote HTTP/1.1" 200 9567
0:0:0:0:0:0:0:1 - - [03/May/2023:05:31:17 +0200] "POST /test/addQuote HTTP/1.1" 200 9567
0:0:0:0:0:0:0:1 - - [03/May/2023:05:31:37 +0200] "POST /test/addQuote HTTP/1.1" 200 9567
0:0:0:0:0:0:0:1 - - [03/May/2023:05:31:50 +0200] "GET /test/myQuotes HTTP/1.1" 200 16808
0:0:0:0:0:0:0:1 - - [03/May/2023:05:31:56 +0200] "POST /test/myQuotes HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [03/May/2023:05:31:56 +0200] "GET /test/myQuotes HTTP/1.1" 200 16808
0:0:0:0:0:0:0:1 - - [03/May/2023:05:32:04 +0200] "POST /test/myQuotes HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [03/May/2023:05:32:04 +0200] "GET /test/myQuotes HTTP/1.1" 200 16806
0:0:0:0:0:0:0:1 - - [03/May/2023:05:32:19 +0200] "POST /test/myQuotes HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [03/May/2023:05:32:19 +0200] "GET /test/myQuotes HTTP/1.1" 200 16621
0:0:0:0:0:0:0:1 - - [03/May/2023:05:32:25 +0200] "GET /test/profile?email=ibrahim@gmail.com HTTP/1.1" 200 18450
0:0:0:0:0:0:0:1 - - [03/May/2023:05:32:40 +0200] "GET /test/people HTTP/1.1" 200 18678
0:0:0:0:0:0:0:1 - - [03/May/2023:05:32:43 +0200] "GET /test/profile?email=jaafar@gmail.com HTTP/1.1" 200 20768
0:0:0:0:0:0:0:1 - - [03/May/2023:05:32:51 +0200] "GET /test/sharedQuotes HTTP/1.1" 200 16504
0:0:0:0:0:0:0:1 - - [03/May/2023:05:32:53 +0200] "POST /test/sharedQuotes HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [03/May/2023:05:32:53 +0200] "GET /test/sharedQuotes HTTP/1.1" 200 16505
